Registration_ID,Registration_Date,Year,Month,Quarter,State,District,RTO,Latitude,Longitude,Manufacturer,Model,Vehicle_Category,Vehicle_Class,Fuel_Type,Battery_kWh,Range_km,Charging_Type,Price_INR,Subsidy_INR,Registration_Count,Market_Share,YoY_Growth,MoM_Growth,Charging_Stations,Fuel_Price,State_GDP_BnINR,Population_Million,Urbanization_Rate,Temperature_C,Festival,Sales_Target
100059,2024-04-27,2024,4,2,Delhi,New Delhi,NEW64,24.112,68.4766,Hyundai,Creta EV,4W,Passenger,Pure EV,24.2,315.4,DC Fast,1754029,43456.0,215,16.01,30.48,-6.37,608,94.99,354.3,89.17,64.51,17.6,Diwali,318
100060,2024-02-17,2024,2,1,Rajasthan,Jaipur,JAI31,27.7894,86.2195,Hyundai,Ioniq 5,4W,Passenger,Pure EV,42.4,401.0,CCS2,2924848,345436.0,130,18.71,13.21,-6.24,566,89.06,19246.7,203.66,33.66,35.4,Christmas,406
100061,2025-11-06,2025,11,4,Delhi,New Delhi,NEW70,20.7818,69.062,Mahindra,BE 6,4W,Passenger,Pure EV,19.4,274.7,DC Fast,3468882,376648.0,162,23.34,23.5,17.72,1191,96.57,27395.2,216.65,45.89,15.7,Pongal,273
100062,2025-12-15,2025,12,4,Kerala,Kochi,KOC24,22.7278,77.3151,Ather,450X,2W,Scooter,Pure EV,3.7,149.7,AC,173188,12457.0,411,2.16,17.59,3.2,1363,103.86,10935.4,151.25,53.24,32.7,Pongal,278
100063,2022-12-28,2022,12,4,Telangana,Hyderabad,HYD04,11.855,85.6196,TVS,iQube,2W,Scooter,Pure EV,4.1,190.8,Bharat DC,95162,8290.0,208,9.15,42.07,9.66,162,91.03,8489.0,161.82,48.25,40.5,,359
100064,2023-11-15,2023,11,4,Telangana,Hyderabad,HYD24,21.4742,79.2226,Ather,Rizta,2W,Scooter,Pure EV,4.4,160.3,AC,137651,8232.0,333,7.04,52.43,-7.33,1092,106.6,24730.1,54.82,67.73,32.8,Christmas,152
100065,2022-03-28,2022,3,1,Maharashtra,Pune,PUN71,22.6386,93.8486,Bajaj,Chetak,2W,Scooter,Pure EV,4.7,142.3,DC Fast,97901,8634.0,433,24.67,33.41,10.45,733,107.05,17953.8,31.66,35.68,16.2,Christmas,63
100066,2024-09-19,2024,9,3,Telangana,Hyderabad,HYD74,9.9913,96.199,Bajaj,Chetak,2W,Scooter,Pure EV,4.0,92.1,AC,117836,14136.0,369,12.02,16.7,2.65,1863,99.18,18252.4,33.39,84.67,28.5,Holi,443
100067,2023-07-17,2023,7,3,Karnataka,Bengaluru,BEN82,33.8215,75.9591,Mahindra,XUV400,4W,Passenger,Pure EV,36.8,256.1,CCS2,3971582,168979.0,266,22.38,44.99,-1.48,2205,90.24,22542.3,148.56,65.29,17.1,Pongal,481
100068,2026-01-27,2026,1,1,Karnataka,Bengaluru,BEN81,22.7306,86.6153,Mahindra,XUV400,4W,Passenger,Pure EV,78.7,542.4,CCS2,1626296,66810.0,293,10.47,31.53,4.95,1998,93.88,28315.0,102.41,55.38,32.7,Holi,275
100069,2025-08-15,2025,8,3,Tamil Nadu,Chennai,CHE41,14.5269,71.5531,Ather,450X,2W,Scooter,Pure EV,3.3,180.6,Bharat DC,9999,16556.0,205,3.36,14.09,6.6,1035,91.38,2056.0,236.43,87.4,24.5,Holi,466
100070,2024-10-24,2024,10,4,Telangana,Hyderabad,HYD31,13.8089,78.234,BYD,Atto 3,4W,Passenger,Pure EV,49.4,421.9,AC,2445659,124372.0,12,2.34,15.56,3.89,1172,99.88,30917.2,164.08,56.71,28.1,Diwali,270
100071,2023-05-24,2023,5,2,Telangana,Hyderabad,HYD36,30.2834,86.074,TVS,iQube,2W,Scooter,Pure EV,2.6,87.2,AC,140564,7907.0,148,1.93,22.78,11.87,547,111.4,13968.5,199.03,46.45,40.2,Holi,151
100072,2026-09-13,2026,9,3,Rajasthan,Jaipur,JAI79,16.6003,79.3957,Tata Motors,Nexon EV,4W,Passenger,Pure EV,19.5,515.4,CCS2,3513880,252765.0,77,15.2,23.51,0.53,2451,96.07,29041.6,133.79,75.28,21.0,,238
100073,2024-11-04,2024,11,4,Kerala,Kochi,KOC22,22.1543,88.9143,Ola Electric,S1 Pro,2W,Scooter,Pure EV,4.0,117.2,Bharat DC,149003,17464.0,297,14.48,36.89,7.17,625,107.72,8704.2,143.78,74.64,17.7,Christmas,210
100074,2025-03-14,2025,3,1,Tamil Nadu,Chennai,CHE49,16.4713,73.0223,TVS,iQube,2W,Scooter,Pure EV,4.7,,CCS2,95605,3232.0,107,14.07,54.88,4.44,2257,96.5,27088.0,180.65,70.18,32.8,Christmas,148
100075,2023-05-18,2023,5,2,Gujarat,Ahmedabad,AHM36,15.7703,84.6308,BYD,Seal,4W,Passenger,Pure EV,67.1,511.3,Bharat DC,3115840,214682.0,246,8.79,50.69,12.68,1636,107.64,33424.9,201.45,42.66,20.6,Diwali,227
100076,2025-11-09,2025,11,4,Uttar Pradesh,Lucknow,LUC86,32.44,74.5445,BYD,Atto 3,4W,Passenger,Pure EV,70.8,307.4,DC Fast,2667063,125784.0,56,15.43,28.14,-1.7,235,90.4,11761.2,118.89,73.13,16.1,Holi,258
100077,2025-08-21,2025,8,3,Tamil Nadu,Chennai,CHE23,19.2829,92.2905,Ola Electric,S1 X,2W,Scooter,Pure EV,3.2,88.3,AC,159185,13567.0,119,13.43,37.0,16.35,1646,106.91,6765.0,187.63,88.04,20.7,,54
100078,2024-10-20,2024,10,4,Maharashtra,Pune,PUN15,16.9285,89.2025,Ather,Rizta,2W,Scooter,Pure EV,3.6,169.8,CCS2,137189,14943.0,69,21.29,20.42,-2.99,782,88.34,11997.8,74.81,72.6,17.8,Eid,473
100079,2025-09-11,2025,9,3,Maharashtra,Pune,PUN43,16.1525,88.9636,TVS,iQube,2W,Scooter,Pure EV,3.0,99.7,AC,119124,5337.0,134,9.65,19.04,-1.06,1091,103.69,24339.1,16.94,29.22,21.2,Eid,401
100080,2026-12-25,2026,12,4,Gujarat,Ahmedabad,AHM71,32.6455,89.9632,Mahindra,BE 6,4W,Passenger,Pure EV,40.9,283.8,DC Fast,4050762,274715.0,233,18.72,29.37,2.81,1033,104.33,20974.8,197.16,60.99,27.8,Pongal,89
100081,2026-02-02,2026,2,1,Rajasthan,Jaipur,JAI66,20.028,69.6134,Hyundai,Ioniq 5,4W,Passenger,Pure EV,54.2,250.4,DC Fast,1848412,133149.0,60,17.04,36.6,4.71,2122,97.97,19867.7,140.36,72.48,21.2,,252
100082,2024-01-24,2024,1,1,Tamil Nadu,Chennai,CHE24,28.7622,90.209,Mahindra,XUV400,4W,Passenger,Pure EV,44.5,509.2,Bharat DC,2594072,67512.0,36,24.65,20.68,-0.54,1553,111.83,13572.0,217.6,90.73,23.3,Holi,384
100083,2024-02-06,2024,2,1,Rajasthan,Jaipur,JAI49,30.2307,75.1778,TVS,iQube,2W,Scooter,Pure EV,4.3,111.2,CCS2,90313,2012.0,153,11.63,36.74,3.03,655,94.62,32828.1,181.67,28.8,,Eid,364
100084,2022-04-07,2022,4,2,Maharashtra,Pune,PUN08,11.7837,96.811,Mahindra,XUV400,4W,Passenger,Pure EV,46.0,495.9,DC Fast,3752743,166897.0,23,10.12,5.23,-2.35,2379,95.65,21047.7,168.62,45.01,21.1,Holi,388
100085,2026-04-14,2026,4,2,Gujarat,Ahmedabad,AHM83,26.1262,90.7883,Ola Electric,S1 Pro,2W,Scooter,Pure EV,3.9,162.8,CCS2,156169,5858.0,348,10.74,22.22,17.28,1725,97.8,10706.1,47.19,61.96,19.2,Navratri,203
100086,2023-08-02,2023,8,3,Rajasthan,Jaipur,JAI69,27.5638,73.524,TVS,iQube,2W,Scooter,Pure EV,3.9,98.8,,111857,4512.0,332,2.07,19.24,1.65,1564,104.17,21221.4,218.59,34.68,34.9,Navratri,295
100087,2023-06-10,2023,6,2,Karnataka,Bengaluru,BEN31,22.9061,90.4899,BYD,Atto 3,4W,Passenger,Pure EV,79.5,235.1,Bharat DC,4198502,285045.0,125,17.42,35.74,2.31,1929,100.81,12766.3,66.5,60.0,26.9,Diwali,461
100088,2025-06-07,2025,6,2,Telangana,Hyderabad,HYD20,13.2972,74.6705,ATHER,Rizta,2W,Scooter,Pure EV,2.6,201.0,DC Fast,9999,3388.0,284,23.38,27.64,2.86,2065,101.22,33038.2,85.38,79.54,26.7,Christmas,285
100089,2023-12-26,2023,12,4,Telangana,Hyderabad,HYD10,33.5201,87.3783,MG,Comet EV,4W,Passenger,Pure EV,63.8,409.5,AC,3909148,290112.0,329,23.94,24.06,13.82,1709,91.3,22185.3,18.39,31.78,18.6,Christmas,241
100090,2022-10-21,2022,10,4,West Bengal,Kolkata,KOL90,26.1989,91.3789,Bajaj,Chetak,2W,Scooter,Pure EV,2.5,154.5,DC Fast,127020,2753.0,370,6.94,53.54,-7.55,458,110.03,18496.2,61.38,68.34,19.6,Pongal,186
100091,2025-02-12,2025,2,1,Kerala,Kochi,KOC52,18.2401,84.0283,Bajaj,Chetak,2W,Scooter,Pure EV,5.0,111.6,AC,151564,15882.0,335,24.79,32.24,-7.18,58,104.87,3169.2,211.56,70.3,21.9,Diwali,320
100092,2022-04-07,2022,4,2,West Bengal,Kolkata,KOL03,33.9597,85.024,Bajaj,Chetak,2W,Scooter,Pure EV,2.6,90.4,Bharat DC,173303,19051.0,289,16.49,1.66,14.11,335,95.18,19869.3,142.32,86.26,32.3,Pongal,246
100093,2023-12-24,2023,12,4,Maharashtra,Pune,PUN42,8.7999,75.9265,Hyundai,Creta EV,4W,Passenger,Pure EV,20.5,385.4,Bharat DC,3635361,196525.0,394,15.39,28.71,17.19,2029,93.48,19490.4,94.79,34.49,29.6,Eid,93
100094,2026-05-26,2026,5,2,Tamil Nadu,Chennai,CHE40,20.0079,90.079,Mahindra,XUV400,4W,Passenger,Pure EV,34.4,358.6,AC,3443616,121999.0,200,7.99,-3.07,-7.86,562,90.1,15255.0,139.91,59.97,15.1,Diwali,231
100095,2026-02-20,2026,2,1,West Bengal,Kolkata,KOL22,26.5035,72.9156,ather energy,Rizta,2W,Scooter,Pure EV,2.5,137.9,CCS2,160125,14809.0,287,22.64,53.58,6.87,1253,94.44,5363.9,43.05,41.53,21.0,Diwali,234
100096,2024-04-24,2024,4,2,Uttar Pradesh,Lucknow,LUC56,30.0178,92.9257,BYD,Seal,4W,Passenger,Pure EV,24.0,323.2,DC Fast,4020882,213998.0,318,9.56,46.04,3.45,1250,95.7,33170.6,51.41,44.51,40.9,Pongal,199
100097,2025-10-26,2025,10,4,Tamil Nadu,Chennai,CHE71,8.7267,89.0892,Ather,Rizta,2W,Scooter,Pure EV,3.2,190.0,DC Fast,122851,13908.0,103,14.85,25.47,9.72,1815,107.14,29145.5,18.69,86.13,35.9,Christmas,121
100098,2024-04-09,2024,4,2,Delhi,New Delhi,NEW05,29.3495,78.4264,TVS,iQube,2W,Scooter,Pure EV,2.7,218.7,AC,133131,7999.0,260,23.1,46.53,2.88,467,106.45,23118.8,89.72,70.47,13.3,Eid,435
100099,2024-07-04,2024,7,3,Karnataka,Bengaluru,BEN76,26.6418,72.3716,Mahindra,BE 6,4W,Passenger,Pure EV,31.4,531.0,AC,2652977,235495.0,114,11.2,15.42,12.08,1997,90.51,14734.3,240.49,29.05,40.2,Holi,228
100100,2024-06-15,2024,6,2,Tamil Nadu,Chennai,CHE44,25.4952,87.637,Hyundai,Creta EV,4W,Passenger,Pure EV,39.6,225.9,DC Fast,3226979,210543.0,35,7.58,42.66,-5.01,1019,100.38,19451.3,83.75,53.26,25.9,Eid,372
